family,count,accuracy,false_negative_rate,ece
pincav,247,0.9959514170040485,0.004048582995951455,0.010281134504655539
smokeloader,298,0.9966442953020134,0.003355704697986628,0.004842299975116419
urelas,302,0.9966887417218543,0.0033112582781457123,0.004941597017069535
offloader,323,0.9969040247678018,0.003095975232198178,0.0668350532723119
cuegoe,333,0.996996996996997,0.0030030030030030463,0.0030146845905807554
xworm,2969,0.9973054900639946,0.002694509936005396,0.002697309772622983
virut,2388,0.9974874371859297,0.002512562814070307,0.005829897693789524
ipamor,888,0.9977477477477478,0.0022522522522522292,0.005744022327268277
amadey,1510,0.9980132450331126,0.001986754966887383,0.0038711929545747416
caynamer,2616,0.9980886850152905,0.0019113149847095334,0.0025645353961874623
trickbot,612,0.9983660130718954,0.0016339869281045694,0.006139590825596999
upatre,3222,0.9984481688392303,0.0015518311607697344,0.0029059743317380684
swisyn,1647,0.9987856709168185,0.0012143290831815312,0.001820705104470881
flystudio,976,0.9989754098360656,0.0010245901639344135,0.005644607215142553
snackarcin,2044,0.9990215264187867,0.0009784735812132794,0.011293758773018721
expiro,8549,0.9991811907825476,0.0008188092174523653,0.001555425993328342
mimikatz,8866,0.9993232573877735,0.0006767426122264997,0.0012086563927433778
virlock,2842,0.9996481351161154,0.0003518648838846117,0.0011576710964734534
cosmu,7462,0.9998659876708658,0.00013401232913423655,0.00040202310819438715
hidmar,317,1.0,0.0,0.1691564156086269
makoob,305,1.0,0.0,0.029601192897816195
jeefo,274,1.0,0.0,0.0274119637624664
fauppod,189,1.0,0.0,0.024633021116109235
xenorat,110,1.0,0.0,0.019532047092540587
godzilla,139,1.0,0.0,0.019075337293252496
cryptbot,501,1.0,0.0,0.017409150590216867
pcclient,150,1.0,0.0,0.01666902217735405
gamup,146,1.0,0.0,0.015361285642634186
nuitka,310,1.0,0.0,0.014933968344089048
znyonm,143,1.0,0.0,0.012393790616142503
snakekeylogger,307,1.0,0.0,0.010934331904222676
stelpak,631,1.0,0.0,0.010122304408335496
blackie,358,1.0,0.0,0.01011003065192813
taskun,255,1.0,0.0,0.010075018710455842
noobyprotect,129,1.0,0.0,0.010044611751129376
dcom,118,1.0,0.0,0.009755880320714241
dampatch,131,1.0,0.0,0.009711655167959117
bodelph,130,1.0,0.0,0.008673177522544144
lodarat,115,1.0,0.0,0.00817729119463159
dlass,150,1.0,0.0,0.007998977117827821
snakelogger,217,1.0,0.0,0.007948514054114099
genie,159,1.0,0.0,0.007445172386176567
reflo,143,1.0,0.0,0.006860888862650323
mydoom,170,1.0,0.0,0.006594194191768474
tpyc,127,1.0,0.0,0.0062352390470629005
nanocore,339,1.0,0.0,0.006226513076891636
azorult,126,1.0,0.0,0.005948994799484004
uztuby,245,1.0,0.0,0.005924635735441325
kolab,135,1.0,0.0,0.005164170901733141
vbclone,181,1.0,0.0,0.004714651022719375
pacex,103,1.0,0.0,0.004126408692375905
puce,1147,1.0,0.0,0.004020176638023654
wannacry,148,1.0,0.0,0.003851725826490071
stop,726,1.0,0.0,0.0036282131954457077
palevo,282,1.0,0.0,0.0035152253057354637
hckpk,427,1.0,0.0,0.0034287973336881716
cycbot,134,1.0,0.0,0.00321749426568018
soltern,144,1.0,0.0,0.0031101626380268094
pyfatget,126,1.0,0.0,0.003100372213108155
ibank,172,1.0,0.0,0.003089866517594242
juched,206,1.0,0.0,0.002945616139970417
dinwod,263,1.0,0.0,0.002915884410714898
picsys,103,1.0,0.0,0.0027941909039088425
almi,161,1.0,0.0,0.0027815194253360937
manbat,144,1.0,0.0,0.0027800576563923505
samsam,107,1.0,0.0,0.002775999351453895
unruy,164,1.0,0.0,0.0026816186153278965
aenjaris,2113,1.0,0.0,0.002466705677983554
lolbot,232,1.0,0.0,0.0024659473644444985
cordimik,128,1.0,0.0,0.0024529270372053314
cayunamer,226,1.0,0.0,0.0023656209585139996
packy,178,1.0,0.0,0.002093917710941362
chinky,1187,1.0,0.0,0.002054370094492079
ribaj,122,1.0,0.0,0.0017855904090480212
finspy,291,1.0,0.0,0.0017669104202691676
debrisa,1148,1.0,0.0,0.0015692301951413345
shyape,159,1.0,0.0,0.001545923562131235
pytr,729,1.0,0.0,0.0014521944965016694
crifi,467,1.0,0.0,0.0014192271583791953
clyp,157,1.0,0.0,0.0013825777259374172
injurer,443,1.0,0.0,0.001370597495150673
stormattack,272,1.0,0.0,0.0011311357831423896
birddog,107,1.0,0.0,0.0006949337123688434
tempedreve,420,1.0,0.0,0.0006742194688611173
mofksys,1025,1.0,0.0,0.0005392495771186868
shipshape,193,1.0,0.0,0.000504642890128304
glupteba,1714,1.0,0.0,0.0004310416812654865
mintluks,120,1.0,0.0,0.00042919771593352696
salgorea,175,1.0,0.0,0.0004015447351493062
packz,254,1.0,0.0,0.0003705789670465087
prometheus,144,1.0,0.0,0.00034493843951777237
axespec,1322,1.0,0.0,0.00031750740870217786
emdup,291,1.0,0.0,0.00026287695061277816
pushdo,542,1.0,0.0,0.0001963859169040738
salrenmetie,192,1.0,0.0,8.93967324285816e-05
berbew,46044,1.0,0.0,5.587058195682102e-05
blihan,422,1.0,0.0,2.2339461527631777e-05
